"unitid","institution name","year","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE"
"498030","Universal Technical Institute-South Florida Miramar","2020",,,,
"498076","Galen Health Institutes-Sarasota","2020",,,,
"498085","Galen Health Institutes-Gainesville","2020",,,,
"498234","Larkin University","2020",,,,
"498340","Chancellor Institute","2020",,,,
"498377","Commercial Diving Technologies Institute","2020",,,,
"498827","JT's Cuts Academy","2020",,,,
"498924","URBE University","2020",,,,
"499370","Arizona College of Nursing-Sarasota","2020",,,,
"499495","Gwinnett Institute","2020",,,,
"500005","Affinity Hair Academy","2020",,,,
"500014","ICR Florida Education","2020",,,,
"500041","Kennedy University of Baptist","2020",,,,
"500087","Doral College","2020",,,,
"500397","Aguilas International Technical Institute","2020",,,,
"500403","Miami Barber Institute","2020",,,,
"500537","UR Beauty & Barber Academy-At True Family Barber Academy","2020",,,,
