code,title,unit_id,distance,school.type,credential.level,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,id,school.name,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
4301,Criminal Justice and Corrections.,132903,2,Public,3,52447,197,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4301,Criminal Justice and Corrections.,132903,3,Public,5,60329,37,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4304,Security Science and Technology.,132903,1,Public,3,61633,17,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4404,Public Administration.,132903,1,Public,3,55259,39,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4404,Public Administration.,132903,3,Public,5,79043,23,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4407,Social Work.,132903,1,Public,3,51153,59,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4407,Social Work.,132903,3,Public,5,58123,115,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4501,"Social Sciences, General.",132903,3,Public,3,46388,22,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4502,Anthropology.,132903,3,Public,3,39319,31,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4506,Economics.,132903,1,Public,3,76360,16,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4510,Political Science and Government.,132903,3,Public,3,64056,138,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
4511,Sociology.,132903,3,Public,3,52197,60,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5001,"Visual and Performing Arts, General.",132903,1,Public,3,52922,120,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5001,"Visual and Performing Arts, General.",132903,1,Public,5,84762,42,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5005,Drama/Theatre Arts and Stagecraft.,132903,1,Public,3,42954,54,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5006,Film/Video and Photographic Arts.,132903,1,Public,3,41255,73,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5007,Fine and Studio Arts.,132903,1,Public,3,46779,119,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5009,Music.,132903,1,Public,3,39898,27,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5010,"Arts, Entertainment, and Media Management.",132903,1,Public,3,59649,51,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5100,"Health Services/Allied Health/Health Sciences, General.",132903,1,Public,3,56148,317,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5100,"Health Services/Allied Health/Health Sciences, General.",132903,3,Public,5,86074,55,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5102,Communication Disorders Sciences and Services.,132903,1,Public,3,51149,111,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5102,Communication Disorders Sciences and Services.,132903,1,Public,5,71169,49,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5107,Health and Medical Administrative Services.,132903,3,Public,3,56075,281,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5107,Health and Medical Administrative Services.,132903,3,Public,5,97350,37,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,132903,1,Public,3,77675,18,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5123,Rehabilitation and Therapeutic Professions.,132903,0,Public,6,84716,27,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132903,2,Public,3,83737,398,132903,University of Central Florida,21,15,0.4011,31400,0.7045342864,2,23,1
